Layers,Neurons,batch,optimiser,keras,epochs,dropout,train %,activation,RMSE,VAL_RMSE,Objective,mae,val_mae,R2,R2_v,final
1,16,10,Adam,normal,200,0,0.05,tanh,0.163711907,0.430504515,0.702891789,0.11220938,0.36371073,0.973198411,0.441656384,0.707427398
1,11,10,Adam,normal,200,0.3,0.05,elu,0.307443008,0.508418495,0.592069248,0.31029072,0.35802573,0.905478797,0.509090086,0.707284441
1,19,10,Adam,uniform,150,0.1,0.05,elu,0.262237946,0.595761362,0.571000346,0.23785782,0.4106183,0.931231259,0.482248733,0.706739996
1,16,10,Adam,normal,200,0.1,0.05,elu,0.230499605,0.530263626,0.619618384,0.21558209,0.33335832,0.946869932,0.465755468,0.7063127
2,"(16, 18)",10,Adam,normal,100,0.1,0.05,elu,0.324458259,0.554949972,0.560295885,0.3092581,0.34503525,0.894726838,0.517778898,0.706252868
1,16,10,Adam,normal,200,0.1,0.05,elu,0.256918818,0.542863692,0.600108745,0.23591208,0.33590162,0.933992721,0.4766711,0.70533191
2,"(16, 19)",10,Adam,normal,150,0.2,0.05,relu,0.366521881,0.64051726,0.496480429,0.39613158,0.4550174,0.865661711,0.54423348,0.704947595
1,19,10,Adam,normal,150,0,0.05,elu,0.259443745,0.552634691,0.593960782,0.21630953,0.3753701,0.932688943,0.47661261,0.704650777
1,16,10,Adam,uniform,200,0.1,0.05,tanh,0.215980208,0.464718762,0.659650515,0.21491991,0.3614332,0.95335255,0.455656887,0.704504719
1,17,10,Adam,normal,100,0.1,0.05,elu,0.414148007,0.610167065,0.487842464,0.35160905,0.3955411,0.828481428,0.580041918,0.704261673
1,18,10,Adam,uniform,150,0.1,0.05,relu,0.281994306,0.535728111,0.591138792,0.2514079,0.39311337,0.920479212,0.487722529,0.70410087
3,"(19, 10, 17)",10,Adam,uniform,150,0.1,0.05,elu,0.313011522,0.585556614,0.550715932,0.30811304,0.42901134,0.902023787,0.504041969,0.703032878
1,11,10,RMSprop,normal,200,0.1,0.15,tanh,0.36050159,0.612240204,0.513629103,0.3192579,0.49490756,0.870038604,0.535548404,0.702793504
1,5,10,Adam,normal,200,0.3,0.05,elu,0.4031987,0.617395084,0.489703108,0.37368032,0.4436143,0.837430809,0.567876555,0.702653682
1,11,10,Adam,normal,200,0.2,0.25,tanh,0.395917394,0.710416317,0.446833144,0.34822732,0.544036,0.843249417,0.561957511,0.702603464
1,17,10,Adam,uniform,200,0.5,0.25,tanh,0.395817768,0.710672287,0.446754972,0.4226056,0.56418157,0.843328294,0.561478278,0.702403286
1,18,10,Adam,normal,150,0.1,0.25,tanh,0.273607523,0.774216819,0.476087829,0.25711736,0.5928004,0.925138924,0.475889998,0.700514461
2,"(8, 19)",10,Adam,normal,200,0,0.3,elu,0.2333118,0.865488615,0.450599792,0.18075418,0.6657514,0.945565604,0.45544834,0.700506972
1,8,10,Adam,uniform,200,0.1,0.05,elu,0.260778243,0.529946215,0.604637771,0.24314338,0.37807956,0.931994708,0.468395346,0.700195027
2,"(17, 20)",10,RMSprop,normal,200,0.1,0.25,elu,0.256117585,0.782010769,0.480935823,0.2711761,0.5710469,0.934403783,0.464722318,0.699563051
1,18,10,Adam,uniform,200,0.2,0.05,elu,0.25392826,0.542704082,0.601683829,0.23636363,0.4141,0.935520439,0.462951306,0.699235873
3,"(11, 20, 14)",10,Adam,uniform,100,0,0.05,elu,0.371823724,0.519395279,0.554390498,0.28521675,0.4012465,0.861747119,0.535975526,0.698861323
4,"(20, 15, 17, 6)",10,Adam,uniform,200,0,0.05,elu,0.267987921,0.577537153,0.577237463,0.22221044,0.371835,0.928182474,0.469161215,0.698671845
